,Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision,probability
1257,x1807g,female,28,German,Football,60,False,False,False,False,1,False,master,B,False,0.00859239774045372
999,x7803c,female,22,Dutch,Swimming,68,False,True,False,False,0,True,master,A,False,0.014906915722816187
2271,x8766g,male,28,Dutch,Rugby,54,False,False,True,False,0,False,master,C,False,0.17062015713476286
3166,x7765a,male,21,Dutch,Football,62,False,False,False,False,2,True,bachelor,D,False,0.060286908377379406
1098,x7200c,male,26,Dutch,Rugby,59,False,False,True,True,2,False,master,B,True,0.7814653527572714
1780,x3813e,male,25,Dutch,Swimming,65,True,True,False,False,2,False,bachelor,B,True,0.8499861522155749
408,x1097b,female,27,German,Running,63,True,False,False,False,2,False,bachelor,A,True,0.800019076203991
1364,x5639f,female,31,German,Rugby,57,False,False,True,False,0,False,master,B,False,0.00012616121532454665
3427,x9073b,male,28,Dutch,Football,58,True,False,False,True,3,False,master,D,False,0.020265702012418747
2850,x6260e,male,24,Dutch,Rugby,58,True,False,True,True,3,False,phd,C,True,0.8974793821176955
2621,x3249c,other,24,Dutch,Football,66,False,False,False,True,2,True,master,C,False,0.2590123446977834
1869,x1642a,male,27,Dutch,Football,55,True,False,False,True,3,False,bachelor,B,True,0.8987899270821514
1396,x3449c,female,28,German,Running,69,False,True,False,False,1,True,master,B,False,0.0024828947851930562
622,x7932b,female,24,Dutch,Swimming,63,False,False,False,False,1,True,bachelor,A,False,0.28391171920278807
1607,x2052g,female,21,Dutch,Swimming,64,False,False,False,False,1,True,master,B,False,0.006085468786259826
3580,x1113b,female,23,Dutch,Chess,60,False,False,False,False,0,True,bachelor,D,False,0.052487518202907646
3625,x1034a,female,23,Dutch,Swimming,59,False,False,False,False,1,True,bachelor,D,False,0.12139668283871793
1352,x4225c,female,25,Dutch,Swimming,68,False,True,False,False,1,True,master,B,False,0.00471314465799259
1625,x8017a,male,29,Dutch,Rugby,55,False,False,False,False,1,False,master,B,False,0.016161845404790418
3735,x6338f,female,21,Dutch,Running,57,False,False,False,False,1,False,bachelor,D,False,0.009417984364826285
1354,x3915e,male,25,Dutch,Rugby,54,True,False,False,True,3,False,master,B,True,0.992537125000872
1465,x6784a,female,25,Belgian,Chess,62,False,False,False,False,1,False,bachelor,B,False,0.012923210749842796
153,x3389d,other,24,Dutch,Chess,70,False,True,False,False,1,True,master,A,True,0.7869516234529478
3936,x6307c,female,21,Dutch,Golf,72,False,True,False,False,1,True,bachelor,D,True,0.39589453889523024
1193,x2480d,female,23,Dutch,Swimming,69,True,True,False,False,1,True,master,B,False,0.017042655893585085
2916,x5593g,female,30,Dutch,Cricket,61,False,False,True,False,1,False,master,C,True,0.9422815208987463
151,x3147e,male,28,Dutch,Football,48,False,False,False,False,1,False,bachelor,A,False,0.033953442005296354
2155,x3018b,male,26,Dutch,Tennis,63,True,False,False,True,3,False,bachelor,C,False,0.14994635135345197
1710,x3346c,female,26,Belgian,Football,71,True,True,False,False,2,True,master,B,True,0.5600005169072686
3546,x6611d,male,27,Dutch,Running,69,False,True,False,False,0,True,master,D,True,0.15130196702061363
2813,x3799c,female,28,Dutch,Tennis,70,False,True,False,False,1,True,master,C,False,0.08926568505619531
859,x2697b,male,22,German,Tennis,68,False,True,False,False,1,True,master,A,True,0.15912942986380973
2509,x7964c,male,25,Dutch,Rugby,63,True,False,False,False,2,False,master,C,True,0.8815119174287857
1658,x8413a,female,22,Dutch,Swimming,70,False,True,False,False,1,True,master,B,False,0.006475539112755849
1019,x9151a,female,23,Dutch,Swimming,67,False,True,True,False,0,True,phd,B,False,5.279227666070094e-05
3639,x6767g,female,27,German,Football,64,True,False,True,True,3,False,phd,D,False,0.7221665358706546
167,x8457e,female,25,Dutch,Golf,61,False,False,False,False,1,True,bachelor,A,False,0.1390872069417923
3959,x6827b,male,26,Dutch,Football,58,True,False,False,True,3,False,phd,D,False,0.08662718818155417
388,x5197f,female,21,Dutch,Chess,70,False,True,False,False,0,True,master,A,False,0.01679984594882002
2762,x4913c,female,25,Dutch,Running,57,False,False,False,False,0,False,bachelor,C,False,0.006189378729035575
1406,x5151d,female,26,Dutch,Rugby,51,False,False,False,False,2,False,master,B,True,0.4838284212152873
1767,x6289d,female,27,Dutch,Chess,66,False,True,False,False,1,True,bachelor,B,False,0.004540393473345886
552,x9657d,male,26,Dutch,Golf,60,False,False,False,False,0,False,bachelor,A,False,0.013430116331016031
8,x6541b,female,28,Dutch,Football,65,True,False,False,True,3,False,bachelor,A,False,0.8328408808823567
601,x3066b,male,29,Dutch,Football,50,False,False,False,False,2,False,bachelor,A,False,0.0953407113893612
1355,x9980d,female,24,Dutch,Running,64,False,False,False,False,1,True,master,B,False,0.0031064534981609616
766,x9383b,female,24,Dutch,Cricket,63,False,True,False,False,2,False,bachelor,A,False,0.7919961152535823
780,x1100f,male,30,Dutch,Rugby,63,False,False,False,False,1,False,bachelor,A,True,0.800839205038563
3255,x4100c,female,27,Dutch,Swimming,66,False,True,False,False,1,True,bachelor,D,True,0.6063711594916041
1959,x9414e,female,24,German,Running,67,True,True,False,False,2,True,bachelor,B,False,0.30696051098955623
2950,x2533d,female,22,German,Swimming,70,False,False,True,False,2,True,master,C,True,0.8946054150335184
3583,x7602e,female,26,Dutch,Tennis,66,False,True,False,False,1,True,master,D,True,0.7873889204392974
3851,x1876b,male,27,Dutch,Rugby,64,True,False,True,False,2,True,master,D,False,0.8236171192137011
2101,x1691e,male,22,Belgian,Football,65,True,False,False,True,1,True,bachelor,C,False,0.004635055182443767
3541,x1481g,male,26,Dutch,Rugby,65,True,False,False,True,3,False,bachelor,D,True,0.023094389229555538
650,x6174c,female,25,Belgian,Swimming,62,False,False,False,False,2,False,master,A,True,0.9832849842839801
1419,x6896d,male,27,Dutch,Chess,66,False,True,False,False,0,True,bachelor,B,False,7.276242977641005e-05
981,x1195e,female,22,German,Swimming,58,False,True,False,False,0,False,bachelor,A,False,0.003942571385462473
3455,x9944f,male,23,Dutch,Cricket,75,False,True,False,True,2,True,master,D,True,0.9775210071629749
646,x6608b,female,26,Dutch,Golf,58,False,False,False,False,1,True,bachelor,A,False,0.09696147217359981
1439,x8818d,male,24,Dutch,Rugby,51,True,False,False,True,2,False,bachelor,B,True,0.7038579949606977
1429,x7742b,male,26,Dutch,Rugby,66,False,False,True,False,1,False,phd,B,False,0.034870063598029376
857,x6407a,female,25,Dutch,Rugby,52,False,False,False,False,2,False,master,A,False,0.7323423778408242
3714,x6347c,male,24,Dutch,Football,54,False,False,True,False,2,False,bachelor,D,False,0.006379945173227382
723,x5789b,male,25,German,Swimming,66,True,False,True,True,3,False,master,A,True,0.9907518703286657
1983,x6458b,female,22,Dutch,Football,59,False,False,False,False,1,True,bachelor,B,False,0.0052830399965739456
841,x5012c,male,23,Dutch,Cricket,59,False,False,False,False,1,False,bachelor,A,False,0.5715582261813014
3364,x9999d,female,28,Dutch,Running,60,False,False,False,False,0,False,bachelor,D,False,0.00216775033462761
416,x6415a,male,25,Dutch,Football,57,False,False,False,True,2,False,bachelor,A,True,0.46184566738823174
3426,x9325a,male,25,Dutch,Rugby,64,True,False,True,True,2,False,master,D,False,0.6006087198494905
564,x9525c,male,24,Dutch,Rugby,60,True,False,False,True,3,False,bachelor,A,False,0.3823460404340815
790,x8545e,female,27,Dutch,Golf,67,True,False,False,False,2,True,bachelor,A,True,0.7646461804186767
1730,x4422b,male,22,Dutch,Tennis,70,False,True,False,True,2,True,master,B,True,0.5971729078078831
1685,x8209d,male,26,Dutch,Swimming,50,True,False,False,True,3,False,master,B,True,0.9832216377776285
1359,x6448d,male,30,Dutch,Football,59,False,False,False,True,2,False,bachelor,B,False,0.6211976669641508
1044,x3529c,female,27,Belgian,Running,58,False,False,False,False,0,False,bachelor,B,False,6.23533031989358e-05
1058,x6122c,male,25,Dutch,Tennis,71,False,True,False,False,1,True,master,B,False,0.031030622213130327
459,x3699d,female,31,Dutch,Rugby,69,False,True,True,False,0,True,master,A,False,0.01817949403395311
3556,x8731c,male,29,Dutch,Rugby,65,False,False,True,False,2,False,master,D,True,0.30845771512195197
614,x8417c,female,21,German,Football,73,False,True,False,False,2,True,master,A,True,0.6525580821038012
3872,x2123g,female,30,Dutch,Rugby,67,False,False,False,False,1,True,master,D,True,0.7759167799117013
2165,x4985g,male,24,Dutch,Football,58,True,False,False,True,2,False,bachelor,C,False,0.038893297286386845
2417,x7418g,female,22,Dutch,Chess,58,False,False,False,False,1,False,bachelor,C,False,0.06633585588466671
3010,x5157g,female,22,Dutch,Chess,72,False,True,False,False,2,True,master,D,True,0.9655886184666471
3989,x8032b,male,28,Dutch,Swimming,57,False,False,False,False,1,False,bachelor,D,False,0.003049087775862442
704,x4735f,female,24,Dutch,Swimming,67,False,True,True,False,1,True,phd,A,True,0.5342278970375998
1267,x7808e,male,21,Dutch,Football,65,False,False,False,False,1,True,bachelor,B,False,0.012773131751139654
3424,x4003f,male,24,Belgian,Running,65,False,False,False,False,1,True,bachelor,D,True,0.26295531508277153
1204,x9230c,male,30,Dutch,Football,57,False,False,False,False,1,False,master,B,False,0.009526429132841597
2389,x3011b,female,25,Dutch,Swimming,61,True,False,False,True,2,True,bachelor,C,False,0.027679435808207854
1339,x8207g,male,30,Dutch,Football,66,True,False,True,True,2,False,master,B,True,0.8850272173723746
2851,x2515b,male,26,Dutch,Cricket,62,False,True,False,False,2,True,bachelor,C,False,0.04099131853606949
1806,x7140g,male,23,Dutch,Golf,66,False,True,False,False,1,False,bachelor,B,False,0.01672387580069162
1006,x1939b,male,29,Dutch,Rugby,61,False,False,False,False,2,False,bachelor,B,True,0.7569776336280256
3338,x3124f,male,26,Dutch,Tennis,62,True,False,False,False,2,False,bachelor,D,False,0.023337843880425327
2999,x7406c,male,28,Belgian,Rugby,49,True,False,False,False,2,False,bachelor,C,False,0.008092788822530516
3384,x5886c,male,28,Dutch,Rugby,55,False,False,True,False,1,False,master,D,False,0.003120179973580599
1360,x5608d,female,22,Dutch,Running,63,False,True,False,False,0,True,bachelor,B,False,3.555656161866505e-05
799,x1104f,male,24,German,Tennis,65,False,False,False,True,2,True,bachelor,A,True,0.0803110984934109
965,x7647d,male,26,Dutch,Tennis,59,False,False,False,False,2,False,bachelor,A,False,0.6606637391607267
1583,x4801d,female,27,Dutch,Football,62,True,False,False,False,2,False,master,B,True,0.7554531818178726
2625,x9917f,male,26,Dutch,Football,55,False,False,False,True,2,False,bachelor,C,False,0.043357148293460934
2853,x5122b,female,26,Dutch,Golf,71,False,True,False,False,2,True,master,C,False,0.3466712920904047
65,x6651a,male,26,Dutch,Football,57,False,False,False,False,1,False,bachelor,A,False,0.38533286301581116
3123,x3522g,female,21,Dutch,Tennis,67,False,False,False,False,1,True,master,D,True,0.8398951811251294
2339,x5807c,female,25,Dutch,Running,62,False,False,True,False,0,False,master,C,False,0.1174254581819453
3082,x3431a,male,24,Dutch,Tennis,71,True,True,False,False,2,True,master,D,True,0.9068216240373226
2827,x9404a,male,24,Dutch,Running,68,False,True,False,False,2,True,master,C,False,0.18848794743056047
3598,x2702b,other,28,Belgian,Swimming,64,False,False,False,False,0,True,master,D,False,0.048964774931820526
3795,x6302c,male,24,Dutch,Football,66,False,True,False,False,1,True,bachelor,D,False,0.34082092240020534
2005,x7483e,male,28,Dutch,Rugby,56,False,False,False,False,2,False,master,C,True,0.5823804600980039
2026,x4495d,male,23,Dutch,Swimming,66,False,False,False,False,1,True,master,C,False,0.2514348036711388
249,x4525b,female,32,Dutch,Cricket,56,False,False,False,False,1,False,bachelor,A,False,0.2177045491108394
1969,x2373c,female,21,Dutch,Football,69,False,False,False,True,2,True,bachelor,B,True,0.464354298280633
3951,x1011c,male,30,Dutch,Football,61,True,False,False,False,2,False,bachelor,D,False,0.01891985926811902
3215,x7671a,male,30,Belgian,Football,66,False,False,True,False,1,False,master,D,True,0.07876835811456412
138,x3750e,female,21,Dutch,Tennis,65,False,False,False,False,1,True,bachelor,A,False,0.08121852608374393
2061,x2523g,male,31,Dutch,Rugby,58,False,False,False,False,0,False,bachelor,C,False,0.03531092287016737
781,x9829d,female,22,Dutch,Tennis,71,False,True,False,False,1,True,master,A,False,0.3831570707697533
1808,x2628c,female,25,German,Football,64,False,True,False,False,1,True,bachelor,B,True,0.0032124575033876304
534,x9776f,female,26,Dutch,Cricket,65,False,False,False,False,1,True,master,A,True,0.5648360592678424
3921,x5053e,female,25,Dutch,Chess,59,False,False,False,False,0,False,bachelor,D,False,0.003325727452697689
3866,x4955g,female,26,Dutch,Swimming,63,False,False,False,False,1,False,master,D,False,0.13794708925520346
3838,x7674f,male,25,Dutch,Tennis,51,False,False,False,False,2,False,bachelor,D,False,0.0008503940336264982
116,x2194f,male,24,Dutch,Football,59,True,False,False,True,3,False,bachelor,A,True,0.2696167029558049
1952,x6433b,female,28,Belgian,Football,70,False,True,False,False,1,True,bachelor,B,False,0.0050078531360042
1090,x2550f,male,25,Dutch,Rugby,53,True,False,True,True,2,False,master,B,True,0.8875188226165646
1166,x3581d,female,24,Dutch,Cricket,62,False,True,False,True,2,True,bachelor,B,False,0.2385478853351948
3747,x6408a,female,22,Dutch,Tennis,66,False,False,False,False,1,True,bachelor,D,True,0.3701508252023357
1181,x7176a,female,30,Dutch,Swimming,55,True,False,False,False,2,False,master,B,True,0.617326850517776
1139,x3315g,female,24,Dutch,Chess,70,False,True,False,False,0,True,phd,B,False,5.225248343846119e-05
2403,x6396b,male,25,Dutch,Tennis,65,False,False,False,False,1,False,bachelor,C,False,0.054870623504958915
553,x8434g,female,32,Dutch,Golf,61,False,False,False,False,1,False,master,A,True,0.5366153006080534
219,x9562b,male,24,German,Swimming,67,False,True,False,False,1,True,bachelor,A,False,0.11008854329618488
2030,x7547b,male,27,Belgian,Golf,54,False,False,False,False,1,False,bachelor,C,False,0.06129388755511637
2376,x4990a,male,22,Dutch,Tennis,62,True,False,False,True,2,False,bachelor,C,False,0.01990124601216722
1905,x8964e,male,24,Dutch,Swimming,52,True,False,False,True,2,False,bachelor,B,True,0.650813246643545
2539,x6883g,female,21,Dutch,Swimming,70,False,True,False,False,1,True,bachelor,C,False,0.009195636935098903
294,x4246e,male,30,Dutch,Rugby,51,True,False,False,True,2,False,master,A,False,0.5575574221156412
3044,x9806c,female,26,Dutch,Swimming,67,False,False,False,False,1,True,master,D,True,0.8520500863794663
3324,x4230e,male,27,Dutch,Rugby,62,True,False,False,False,2,False,bachelor,D,False,0.026480769491148106
1324,x9879c,female,27,Dutch,Football,61,False,False,False,False,1,False,bachelor,B,False,0.013601495195331426
2541,x6014a,female,27,Belgian,Chess,69,False,True,False,False,0,True,master,C,False,0.019682661312067272
2443,x3019g,female,25,Dutch,Football,77,True,True,False,False,2,True,master,C,False,0.4352551124593288
93,x9834a,male,25,Dutch,Running,63,False,False,False,False,1,True,master,A,False,0.40894054916542544
2246,x8996a,male,29,Dutch,Swimming,63,False,False,False,False,1,False,bachelor,C,True,0.34076712854629065
107,x5663f,male,28,Dutch,Tennis,58,True,False,False,False,2,False,bachelor,A,False,0.5230756422778846
519,x6361g,female,28,Dutch,Chess,66,False,False,False,False,1,True,master,A,False,0.5136872056890285
385,x9854e,male,27,Dutch,Football,66,False,False,False,True,2,False,bachelor,A,True,0.8438590206216028
1067,x5142a,male,27,Dutch,Football,59,True,False,False,True,3,False,bachelor,B,True,0.9379248538873896
2415,x8637e,female,25,Dutch,Running,60,False,False,False,False,0,True,bachelor,C,False,0.0023103040765318685
68,x6161a,female,24,Dutch,Swimming,57,False,False,False,False,1,True,bachelor,A,False,0.14445153746250594
2591,x7294e,female,26,Dutch,Chess,60,False,False,True,False,0,True,master,C,True,0.05149236323639326
1834,x1449c,male,27,Dutch,Cricket,74,False,True,False,False,2,True,master,B,False,0.4863026055332433
3042,x4190f,male,27,Belgian,Swimming,58,True,False,True,True,3,False,master,D,False,0.05810930506835097
353,x1296a,female,30,German,Golf,56,False,False,True,False,0,False,master,A,False,0.010281155757943132
2478,x4167b,female,26,Dutch,Swimming,55,False,False,False,False,2,False,bachelor,C,False,0.119627833667737
3045,x5281a,male,27,Belgian,Football,61,False,False,False,False,2,False,master,D,False,0.11039140840249163
3595,x6304g,other,28,Belgian,Chess,58,False,False,False,False,1,False,bachelor,D,False,0.0006797328433842837
2064,x7898a,male,26,Dutch,Rugby,52,False,False,False,True,2,False,master,C,True,0.25146227914081076
1828,x4758d,male,28,Belgian,Rugby,59,False,False,False,False,2,False,master,B,True,0.6414018164551123
2470,x9391a,female,26,Dutch,Swimming,63,False,False,False,False,1,True,bachelor,C,False,0.04309881691562591
314,x2409b,male,25,Dutch,Tennis,61,False,False,False,False,1,True,bachelor,A,False,0.11646918673497463
1790,x4714d,male,29,Dutch,Rugby,52,True,False,False,True,2,False,bachelor,B,True,0.7792869473075379
1219,x4461a,female,26,Dutch,Swimming,56,True,False,True,True,2,False,master,B,True,0.7709408526844685
2565,x6116f,female,23,German,Tennis,68,False,True,False,False,1,True,bachelor,C,False,0.0010857341414099025
16,x9859f,male,28,Dutch,Cricket,63,False,True,True,False,1,False,phd,A,False,0.766020493409815
3899,x4407c,male,28,Belgian,Rugby,55,True,False,False,True,2,False,phd,D,False,0.10206728477506442
2183,x7996c,female,31,Dutch,Cricket,61,False,False,False,False,1,False,master,C,True,0.817930865231685
3729,x3456b,female,26,Dutch,Tennis,54,True,False,False,True,3,False,bachelor,D,False,0.0008545602823231495
721,x9563d,female,26,Dutch,Swimming,50,True,False,False,True,3,False,bachelor,A,False,0.03553808890472047
1849,x7960f,female,25,Belgian,Chess,73,False,True,False,False,1,True,master,B,False,0.005146531824739555
25,x3887a,male,24,Dutch,Football,68,False,True,False,False,2,True,master,A,False,0.8131933284505328
1789,x9610c,male,28,Dutch,Rugby,58,False,False,False,False,0,False,bachelor,B,False,0.00031062228882340343
3644,x4204b,male,27,Dutch,Rugby,50,True,False,False,True,3,False,bachelor,D,False,0.00017593943620913114
1249,x9816a,female,22,Dutch,Running,70,False,True,False,True,2,True,bachelor,B,False,0.2721830321774325
2284,x5458d,other,25,Dutch,Chess,70,False,True,True,False,0,True,master,C,False,0.20516142040177546
3163,x1949b,male,26,Dutch,Football,68,False,False,False,False,1,True,master,D,True,0.9047903596633882
1469,x1523f,female,28,German,Football,64,False,False,False,False,1,True,bachelor,B,False,0.005105906582405694
1640,x6788g,male,27,Dutch,Football,49,False,False,False,False,1,False,bachelor,B,False,0.007319595894002496
3120,x2408d,female,22,Dutch,Swimming,65,False,True,False,False,0,True,master,D,False,0.1301193965041045
2981,x5223f,male,27,Dutch,Cricket,61,True,False,False,False,2,False,bachelor,C,False,0.3517008710799077
159,x5585b,male,23,Dutch,Swimming,61,False,False,False,False,1,False,bachelor,A,True,0.6062449449450161
3453,x9557b,female,24,Dutch,Football,66,False,True,False,False,1,True,master,D,True,0.8337724288913525
2948,x4644a,male,22,Dutch,Tennis,60,False,True,False,False,1,True,bachelor,C,False,0.0006749741407909634
1649,x7482b,female,25,Dutch,Tennis,62,True,False,False,False,2,False,bachelor,B,True,0.8569375896217116
3653,x6536f,male,22,Dutch,Tennis,69,False,True,False,False,1,True,master,D,True,0.6907162606065178
423,x3822c,female,27,Dutch,Rugby,61,False,False,True,False,2,False,bachelor,A,True,0.9464726360914634
3469,x2444e,male,27,Belgian,Football,57,False,False,False,False,1,False,bachelor,D,False,0.00275035194215671
970,x4489f,other,29,German,Swimming,60,True,False,False,True,2,False,bachelor,A,False,0.418927224727353
2836,x7838f,female,22,Dutch,Running,64,False,True,False,False,0,True,master,C,False,0.004638605355101291
2668,x9811c,female,27,Dutch,Golf,58,False,False,False,False,1,False,bachelor,C,False,0.08112105143449665
2500,x1729b,female,21,Dutch,Running,62,False,False,False,False,2,False,bachelor,C,False,0.10497502446595731
510,x7641d,female,27,Dutch,Football,63,False,False,False,False,1,True,master,A,False,0.4424901202483982
3808,x8447e,male,29,Dutch,Cricket,71,False,True,True,False,2,True,master,D,True,0.97871583141951
3907,x2023b,female,24,Belgian,Swimming,70,False,True,False,False,1,True,master,D,True,0.9387248427673297
288,x2376b,male,27,Dutch,Golf,75,True,True,False,False,2,True,master,A,True,0.9599865811035279
1472,x1183a,male,26,Dutch,Rugby,57,True,False,False,True,3,False,master,B,True,0.9950354207058844
504,x8616c,female,23,Dutch,Running,64,False,True,False,False,1,True,bachelor,A,True,0.07305074185451318
749,x2237b,male,32,Dutch,Cricket,58,False,False,False,False,2,False,master,A,True,0.8167417943699427
852,x1046g,other,28,Dutch,Tennis,74,False,True,False,True,2,True,bachelor,A,False,0.40359328526744115
1432,x6711c,male,31,Dutch,Golf,60,False,False,True,False,2,False,phd,B,False,0.2644769799013801
1282,x2066f,male,25,Dutch,Running,59,True,False,False,True,2,False,bachelor,B,False,0.7126943388227803
1171,x9573d,male,21,Belgian,Running,68,False,True,False,False,1,True,bachelor,B,False,0.006120883160378026
1158,x2502a,male,29,Dutch,Golf,64,False,False,True,False,1,True,master,B,False,0.003679114655527774
2877,x7635f,female,23,Dutch,Tennis,58,True,False,False,False,2,False,bachelor,C,False,0.03952748113159772
2556,x1100b,male,28,Dutch,Golf,67,False,False,False,False,1,True,master,C,True,0.39133143864456
1557,x4522d,female,29,Dutch,Swimming,59,False,False,True,False,1,False,master,B,False,0.008600934297668348
2870,x9994e,male,29,German,Tennis,64,True,False,True,False,1,False,master,C,True,0.8808779052432804
1065,x7863g,female,27,Dutch,Tennis,60,False,False,True,False,1,False,bachelor,B,False,0.04975810025148204
2291,x9434g,female,22,Dutch,Tennis,62,True,True,False,True,2,False,bachelor,C,False,0.005103531765496503
1499,x2078a,male,27,Dutch,Rugby,56,False,False,True,False,1,False,phd,B,False,0.01806120190535662
1529,x3171d,male,22,Dutch,Football,67,False,True,False,False,1,True,bachelor,B,False,0.009059562638024918
3709,x1490d,female,26,Dutch,Tennis,64,False,False,False,False,1,False,bachelor,D,False,0.22489005186459177
3385,x2827e,male,30,German,Cricket,70,False,True,True,False,0,True,master,D,False,0.3805995811973946
2811,x2702c,male,25,Dutch,Football,61,False,False,False,False,2,False,bachelor,C,False,0.18177632937578697
1614,x3762c,female,27,Belgian,Running,56,False,False,False,False,1,False,bachelor,B,False,0.005030946802532069
3946,x7979f,female,21,Dutch,Swimming,68,False,True,False,False,0,True,bachelor,D,False,0.0748240334768258
1291,x7366g,male,29,German,Cricket,65,False,False,False,False,0,True,phd,B,False,6.10463851170442e-05
302,x7424b,female,21,Dutch,Chess,62,False,False,False,False,1,False,bachelor,A,True,0.5870264487297773
2717,x7777d,male,23,Belgian,Cricket,59,False,False,False,False,1,True,bachelor,C,False,0.022495664967793563
1913,x6008g,male,25,Dutch,Football,60,True,False,False,True,2,False,bachelor,B,True,0.7821226679205997
1327,x3949a,female,23,Dutch,Running,68,False,True,False,False,1,True,master,B,False,0.003251634372743255
263,x7819g,male,30,Dutch,Rugby,54,True,False,False,True,3,False,master,A,False,0.5335766774859306
726,x9442b,male,22,Belgian,Swimming,68,False,True,False,False,2,True,master,A,True,0.8808811373114607
2276,x1199d,male,24,Dutch,Cricket,70,False,False,False,False,1,True,master,C,False,0.49709228637114344
2885,x3089d,female,28,Dutch,Chess,60,False,False,False,False,1,False,bachelor,C,False,0.26853928367962215
947,x3956f,female,26,Dutch,Football,58,False,False,True,False,0,False,master,A,False,0.024876671638423317
